project_name,file,size,analysis_status
B6J_DensityTest_10012024_AR,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/B6J_DensityTest_10012024_AR/B6J_DensityTest_10012024_AR/241004/M08029/AxonTracking/000007/data.raw.h5,12853630471,Not Started
B6J_DensityTest_10012024_AR,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/B6J_DensityTest_10012024_AR/B6J_DensityTest_10012024_AR/241007/M08029/AxonTracking/000023/data.raw.h5,15350337170,Not Started
B6J_DensityTest_10012024_AR,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/B6J_DensityTest_10012024_AR/B6J_DensityTest_10012024_AR/241010/M06804/AxonTracking/000037/data.raw.h5,2907087228,Not Started
B6J_DensityTest_10012024_AR,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/B6J_DensityTest_10012024_AR/B6J_DensityTest_10012024_AR/241010/None/AxonTracking/000043/data.raw.h5,5521449105,Not Started
B6J_DensityTest_10012024_AR,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/B6J_DensityTest_10012024_AR/B6J_DensityTest_10012024_AR/241014/M06804/AxonTracking/000057/data.raw.h5,10847622082,Not Started
B6J_DensityTest_10012024_AR,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/B6J_DensityTest_10012024_AR/B6J_DensityTest_10012024_AR/241014/M08029/AxonTracking/000050/data.raw.h5,7922081859,Not Started
B6J_DensityTest_10012024_AR,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/B6J_DensityTest_10012024_AR/B6J_DensityTest_10012024_AR/241017/M06804/AxonTracking/000064/data.raw.h5,10761094744,Not Started
B6J_DensityTest_10012024_AR,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/B6J_DensityTest_10012024_AR/B6J_DensityTest_10012024_AR/241017/M06804/AxonTracking/000065/data.raw.h5,336540013,Not Started
B6J_DensityTest_10012024_AR,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/B6J_DensityTest_10012024_AR/B6J_DensityTest_10012024_AR/241017/M08029/AxonTracking/000073/data.raw.h5,262788031,Not Started
B6J_DensityTest_10012024_AR,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/B6J_DensityTest_10012024_AR/B6J_DensityTest_10012024_AR/241017/M08029/AxonTracking/000072/data.raw.h5,11208199205,Not Started
B6J_DensityTest_10012024_AR,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/B6J_DensityTest_10012024_AR/B6J_DensityTest_10012024_AR/241017/M08029/AxonTracking/000082/data.raw.h5,158257422230,Not Started
B6J_DensityTest_10012024_AR,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/B6J_DensityTest_10012024_AR/B6J_DensityTest_10012024_AR/241021/M06804/AxonTracking/000091/data.raw.h5,11943123464,analyzed
B6J_DensityTest_10012024_AR,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/B6J_DensityTest_10012024_AR/B6J_DensityTest_10012024_AR/241021/M06804/AxonTracking/000093/data.raw.h5,407576238,Not Started
