project_name,file,size,analysis_status
SYNGAP1_T3_C1_08092024,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/SYNGAP1_T3_C1_08092024/SYNGAP1_T3_C1_08092024/240815/M08024/AxonTracking/000019/data.raw.h5,22290869705,Not Started
SYNGAP1_T3_C1_08092024,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/SYNGAP1_T3_C1_08092024/SYNGAP1_T3_C1_08092024/240816/M08024/AxonTracking/000041/data.raw.h5,22790800339,Not Started
SYNGAP1_T3_C1_08092024,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/SYNGAP1_T3_C1_08092024/SYNGAP1_T3_C1_08092024/240823/M08024/AxonTracking/000056/data.raw.h5,21281012494,Not Started
SYNGAP1_T3_C1_08092024,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/SYNGAP1_T3_C1_08092024/SYNGAP1_T3_C1_08092024/240827/M08024/AxonTracking/000065/data.raw.h5,23568492891,Not Started
SYNGAP1_T3_C1_08092024,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/SYNGAP1_T3_C1_08092024/SYNGAP1_T3_C1_08092024/240830/M08024/AxonTracking/000076/data.raw.h5,23977229306,Not Started
SYNGAP1_T3_C1_08092024,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/SYNGAP1_T3_C1_08092024/SYNGAP1_T3_C1_08092024/240903/M08024/AxonTracking/000086/data.raw.h5,23409427208,Not Started
SYNGAP1_T3_C1_08092024,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/SYNGAP1_T3_C1_08092024/SYNGAP1_T3_C1_08092024/240906/M08024/AxonTracking/000106/data.raw.h5,24254996142,Not Started
SYNGAP1_T3_C1_08092024,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/SYNGAP1_T3_C1_08092024/SYNGAP1_T3_C1_08092024/240910/M08024/AxonTracking/000120/data.raw.h5,27016262781,Not Started
SYNGAP1_T3_C1_08092024,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/SYNGAP1_T3_C1_08092024/SYNGAP1_T3_C1_08092024/240913/M08024/AxonTracking/000165/data.raw.h5,26583537792,Not Started
SYNGAP1_T3_C1_08092024,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/SYNGAP1_T3_C1_08092024/SYNGAP1_T3_C1_08092024/240917/M08024/AxonTracking/000195/data.raw.h5,25374630518,Not Started
SYNGAP1_T3_C1_08092024,/mnt/ben-shalom_nas/rbsmaxtwo/media/rbs-maxtwo/harddisk20tb/SYNGAP1_T3_C1_08092024/SYNGAP1_T3_C1_08092024/240920/M08024/AxonTracking/000240/data.raw.h5,26747082177,Not Started
