unit_id,analytics_channels_in_template,analytics_template_rect_area,analytics_template_density,analytics_axon_length,analytics_num_branches,analytics_branch_lengths,analytics_branch_channel_density,analytics_branch_orders,analytics_maximum_branch_order,analytics_velocities
613,13825,7871850.0,0.0017562580587790672,397.6236136554213,5,"[397.6236136554213, 277.16293968538923, 402.6976061910243, 187.50859123708014, 263.7804857649993]","[44.18040151726903, 34.645367460673654, 33.55813384925202, 26.786941605297162, 43.96341429416655]","{0: 2, 1: 1, 2: 2, 3: 1, 4: 1}",2,"{0: 382.308887473081, 1: 354.35798639369426, 2: 94.22655157212785, 3: 79.34411124063557, 4: 199.62110091189504}"
496,6134,7871850.0,0.0007792323278517756,405.5390130675502,1,[405.5390130675502],[67.58983551125836],{0: 1},1,{0: 64.1094496619683}
479,1731,7871850.0,0.00021989748280264488,1350.6494847432593,2,"[1350.6494847432593, 674.7462924192206]","[112.55412372860495, 96.39232748846008]","{0: 1, 1: 1}",1,"{0: 380.38223275172845, 1: 352.99580104556543}"
350,4658,7871850.0,0.0005917287549940611,626.3564070503887,2,"[626.3564070503887, 303.9643869091168]","[78.29455088129859, 60.79287738182336]","{0: 1, 1: 1}",1,"{0: 220.732342897445, 1: 79.51462688819666}"
285,8322,7871850.0,0.0010571847786733741,554.6375848831988,1,[554.6375848831988],[79.23394069759982],{0: 1},1,{0: 114.32751915056869}
216,1735,7871850.0,0.0002204056225664869,607.3878478268934,5,"[607.3878478268934, 811.1453331032677, 963.7394672363307, 800.9793628509781, 672.3457833982773]","[121.47756956537869, 115.87790472903825, 160.62324453938845, 133.49656047516302, 134.46915667965544]","{0: 1, 1: 1, 2: 2, 3: 1, 4: 1}",2,"{0: 855.0259275371501, 1: 113.61725937973561, 2: 1381.4304778326061, 3: 850.0711513694991, 4: 261.22186968484294}"
144,5760,7871850.0,0.0007317212599325444,548.1539158326419,3,"[548.1539158326419, 317.024111698075, 682.8544779245605]","[68.51923947908024, 63.404822339614995, 136.57089558491208]","{0: 1, 1: 1, 2: 0}",1,"{0: 312.5695530719023, 1: 183.02796041612282, 2: 1009.9557242331614}"
588,13825,7871850.0,0.0017562580587790672,453.58786345997856,3,"[453.58786345997856, 238.60223826543927, 398.2330715044228]","[75.59797724332977, 39.767039710906545, 56.89043878634612]","{0: 1, 1: 1, 2: 1}",1,"{0: 72.49638198493527, 1: 49.68085933325784, 2: 50.91032247638946}"
68,13825,7871850.0,0.0017562580587790672,840.2222973372856,4,"[840.2222973372856, 454.86953805638836, 356.0666456381901, 289.50606592013844]","[60.015878381234685, 75.81158967606473, 32.36969505801728, 48.25101098668974]","{0: 1, 1: 1, 2: 2, 3: 1}",2,"{0: 106.45103872676819, 1: 53.06955125261741, 2: 542.0796694599273, 3: 69.76836621411536}"
447,6871,7871850.0,0.0008728570793396724,687.2490289671791,1,[687.2490289671791],[114.54150482786319],{0: 1},1,{0: 148.14614185034347}
